Id,SalePrice
1461,124938.17275381516
1462,163189.70773929683
1463,188897.13426080483
1464,196584.09884693386
1465,195847.7040344633
1466,172067.84103772612
1467,178685.2076685859
1468,157492.86829218132
1469,190860.871062019
1470,120476.76715307512
1471,205667.19619001442
1472,100776.43739737032
1473,98535.4410059953
1474,146380.84930824043
1475,115008.01590724009
1476,356333.72211479733
1477,233064.83888518493
1478,300019.2591538819
1479,287307.48267409083
1480,460085.00706071727
1481,314931.4678039596
1482,207236.59068829296
1483,180620.5083653495
1484,166152.82744256727
1485,181930.76182167913
1486,197907.43680377226
1487,330056.6312986929
1488,226687.92548699188
1489,185452.95000628816
1490,228976.6660027664
1491,195114.29772413409
1492,98128.42324466062
1493,178131.82642668986
1494,293300.7758377312
1495,290869.2120184859
1496,229005.12416559565
1497,174435.8514098822
1498,158333.28121932555
1499,154152.83902999666
1500,149068.52145033266
1501,166083.79382252955
1502,141506.5803436029
1503,285105.3055206405
1504,239158.03364116309
1505,222237.14809237336
1506,194654.54783406598
1507,259363.65557334071
1508,208482.9496159425
1509,157424.61556698196
1510,146704.40135033237
1511,150341.7686057192
1512,180698.61611626498
1513,149936.0537648863
1514,153611.68861934752
1515,187602.6912123616
1516,153874.3878973645
1517,154984.12683279748
1518,143135.94945002286
1519,223588.1164919923
1520,131631.15304832577
1521,143794.50273007626
1522,183214.4232099704
1523,108979.66230399968
1524,125279.0944690141
1525,118699.32208148237
1526,118444.11571266344
1527,102675.58609645268
1528,132850.0262850861
1529,146660.52141776826
1530,170917.10829541858
1531,117255.74380658794
1532,98824.69899356079
1533,144787.17438938364
1534,132065.13416163492
1535,158270.82493576233
1536,113282.85667304319
1537,79468.45007936392
1538,146844.26194282225
1539,198742.0865130564
1540,117806.73389528251
1541,152774.86299367654
1542,146955.9125370145
1543,185765.81791550404
1544,80314.6326078024
1545,110516.66814159801
1546,132325.48438251836
1547,128207.56627684437
1548,136107.71751238915
1549,114420.34594263964
1550,138120.75201975438
1551,126320.58308664348
1552,142022.7079457459
1553,148316.45810835273
1554,111558.20474566348
1555,174208.88491336422
1556,97718.13984400273
1557,116799.48025070618
1558,108289.02330471537
1559,91926.08130193935
1560,148761.23634983663
1561,130385.78578592493
1562,126542.22858405291
1563,124025.59029006178
1564,165089.82032675977
1565,157410.27957972832
1566,223189.46207407583
1567,86497.5898109494
1568,245579.79683891506
1569,139216.2332742957
1570,138932.41075148195
1571,121001.73152468195
1572,147655.92405608224
1573,240377.81423854837
1574,136376.01293204376
1575,228754.9721610459
1576,237231.13917115444
1577,182442.54672031617
1578,147647.5040302571
1579,145030.38757926045
1580,199231.6282371965
